No se encontró la tabla para el ubigeo 010504, gasto 30=, Proyecto: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=01&6=05&7=300046&30=&y=2024&ap=Proyecto&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020108, gasto 30=, Actividad: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300092&30=&y=2024&ap=Actividad&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020106, gasto 8=, Proyecto: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300090&8=&y=2024&ap=Proyecto&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020106, gasto 8=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300090&8=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020107, gasto 30=, Proyecto: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300091&30=&y=2024&ap=Proyecto&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020109, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300093&30=&y=2024&cpage=1&psize=400
&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020107, gasto 8=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300091&8=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020109, gasto 30=, Proyecto: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300093&30=&y=2024&ap=Proyecto&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020111, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300095&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020110, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300094&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020112, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300096&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020110, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300094&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020111, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300095&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020112, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=01&7=300096&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020201, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=02&7=300097&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020201, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=02&7=300097&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020608, gasto 8=, Proyecto: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=06&7=300132&8=&y=2024&ap=Proyecto&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020610, gasto 30=, : https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=06&7=300134&30=&y=2024&cpage=1&psize=400
No se encontró la tabla para el ubigeo 020610, gasto 30=, Actividad: https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=02&6=06&7=300134&30=&y=2024&ap=Actividad&cpage=1&psize=400
